CVE,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,sin_primaria,analfabeta,con_hacinamiento
27001,27,Tabasco,001,Balancán,32.35,11.51,49.16
27002,27,Tabasco,002,Cárdenas,24.48,7.41,44.51
27003,27,Tabasco,003,Centla,22.66,8.15,50.43
27004,27,Tabasco,004,Centro,13.46,4.1,36.62
27005,27,Tabasco,005,Comalcalco,24.86,7.63,44.54
27006,27,Tabasco,006,Cunduacán,25.93,7.76,43.98
27007,27,Tabasco,007,Emiliano Zapata,24.3,7.38,44.42
27008,27,Tabasco,008,Huimanguillo,29.84,9.9,49.21
27009,27,Tabasco,009,Jalapa,23.65,8.04,41.89
27010,27,Tabasco,010,Jalpa de Méndez,21.5,7.6,44.14
27011,27,Tabasco,011,Jonuta,28.81,11.55,53.89
27012,27,Tabasco,012,Macuspana,21.7,7.98,47.5
27013,27,Tabasco,013,Nacajuca,18.52,8.84,43.09
27014,27,Tabasco,014,Paraíso,18.01,4.66,38.43
27015,27,Tabasco,015,Tacotalpa,27.83,9.28,55.13
27016,27,Tabasco,016,Teapa,29.81,11.83,48.62
27017,27,Tabasco,017,Tenosique,27.98,10.51,46.01
